meter_id,billing_start,billing_end,kwh,unit,tariff,cost
MTR-001,2024-01-01,2024-01-31,12500,kWh,commercial,1875.00
MTR-001,2024-02-01,2024-02-29,13200,kWh,commercial,1980.00
MTR-002,2024-01-15,2024-02-14,8900,kWh,industrial,1068.00
MTR-003,01/01/2024,01/31/2024,45000,kWh,industrial,5400.00
MTR-001,2024-03-01,2024-03-31,11800,kWh,commercial,1770.00
,2024-02-01,2024-02-29,9500,kWh,commercial,1425.00
MTR-002,2024-02-15,2024-03-14,9200,kWh,industrial,1104.00
MTR-004,2024-01-01,2024-03-31,750000,kWh,industrial,90000.00
MTR-001,2024-02-01,2024-02-29,13200,kWh,commercial,1980.00
MTR-003,2024-02-01,2024-02-29,42000,kWh,industrial,5040.00
MTR-005,2024-01-01,2024-01-31,15.5,MWh,commercial,2325.00
MTR-002,2024-03-15,2024-04-14,-1200,kWh,industrial,-144.00
MTR-006,2024-01-01,2024-01-31,8800,kWh,residential,1320.00
MTR-003,2024-03-01,2024-03-31,38000,kWh,industrial,4560.00
MTR-001,2024-04-01,2024-04-30,12100,kWh,commercial,1815.00
